,Borough,Neighborhood,ID,Name
0,Bronx,Co-op City,4c9d5f2654c8a1cd2e71834b,Guang Hui Chinese Restaurant
1,Bronx,Norwood,4e41d2c4b61ca5ba3b1f9c6b,Ming Liang Kitchen
2,Bronx,Pelham Parkway,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant
3,Bronx,Bedford Park,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant
4,Bronx,Fordham,4cf30a837e93f04d366a5669,China Wok II
5,Bronx,East Tremont,4ccf58277f56a1434cfec6a6,Wings Chinese Restaurant
6,Bronx,West Farms,4cd0d4d77b6854810401c4f8,Food Hai
7,Bronx,High  Bridge,4da0c70b7aee5481bda6b2fe,wah yong
8,Bronx,Soundview,4cc63e36bde8f04dcbfeb54b,Golden City Chinese Restaurant
9,Bronx,Soundview,4e656e8252b1260c14683b4b,Kee Hing Restaurant
10,Bronx,Parkchester,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant
11,Bronx,Parkchester,4d7273065f0037048835e0a0,King Wok
12,Bronx,Van Nest,4dcdb39352b1f8915b842d57,Joy Garden
13,Bronx,North Riverdale,4ca4fda4d971b1f77da5f2e0,Golden Phoenix Chinese Restaurant
14,Bronx,Pelham Bay,4b5f3d97f964a52074af29e3,Lee Xing
15,Bronx,Pelham Bay,4e4dd9bcbd4101d0d79cbeb3,King Hing
16,Bronx,Pelham Gardens,4b8efe8bf964a520564333e3,Rich Restaurant
17,Bronx,Pelham Gardens,4eadecbf9911d5c95181ee84,Yummy House
18,Bronx,Concourse,4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant
19,Brooklyn,Bay Ridge,5553702c498ecb85f99d8f37,XIN
20,Brooklyn,Bensonhurst,4d9dead0c4b537041abc212e,Tong Xing Chinese & New Taco Mexican Food
21,Brooklyn,Bensonhurst,4e4cd93fbd413c4cc66ca721,Great Wall Restaurant
22,Brooklyn,Greenpoint,4abd867df964a520d78a20e3,Shang Hai Lee
23,Brooklyn,Gravesend,4c257346c9bbef3ba975afac,Tasty House
24,Brooklyn,Manhattan Terrace,4d91f9a1d7b1236a6e343c38,Golden chopsticks
25,Brooklyn,East Flatbush,4c6b208e0c3ac9b6be76d138,China Express
26,Brooklyn,Windsor Terrace,54e39b14498e9c646b42958e,East Wind Snack Shop
27,Brooklyn,Windsor Terrace,4c06e2470e0a2d7fdf8aec0c,#1 Garden Chinese Food
28,Brooklyn,Brownsville,4c38b7421e06d13acf3c783e,Wah Yung Chinese Food
29,Brooklyn,Bushwick,4ba02bb5f964a520485f37e3,Happy Garden
30,Brooklyn,Brooklyn Heights,4a9ac078f964a5207c3220e3,Fortune House
31,Brooklyn,Brooklyn Heights,4a986a9cf964a520e82b20e3,Great Wall Chinese Food
32,Brooklyn,Carroll Gardens,4b09dc38f964a520cf1e23e3,Ting Hua
33,Brooklyn,Gowanus,4c60a7cede6920a15f9d9664,Michael and Ping's
34,Brooklyn,Park Slope,49bb541ff964a520e3531fe3,Hunan Delight
35,Brooklyn,Park Slope,3fd66200f964a52059f11ee3,Mr. Wonton
36,Brooklyn,Cypress Hills,4f326c1a19836c91c7d64648,Wo Hop Chinese Restaurant
37,Brooklyn,East New York,4c818737d8086dcb1c0f6e52,Wah On
38,Brooklyn,East New York,4dd1b576c65b9d071f8c6ac1,Golden Horse Restaurant
39,Brooklyn,Starrett City,4c30c43816adc928519cbf9c,China Star
40,Brooklyn,Bath Beach,4d4a03494509721eab1d2ab0,Welcome Seafood Restaurant
41,Brooklyn,Marine Park,4c5075d73940be9ae2124a07,new grand wok
42,Brooklyn,Clinton Hill,4a71ff01f964a52016da1fe3,Kum Kau
43,Brooklyn,Downtown,59da9590e1f0aa52976b8f35,Han Dynasty
44,Brooklyn,Downtown,5db3649a8d15ba00089b4e9b,Xi'an Famous Foods
45,Brooklyn,Downtown,585d72449f25836f2b2b7a1b,Xifu Food
46,Brooklyn,Boerum Hill,585d72449f25836f2b2b7a1b,Xifu Food
47,Brooklyn,Ocean Hill,4f4464ed19836ed00193d4a6,Good Taste Chinese Restaurant
48,Brooklyn,Prospect Park South,4d910aa39acaa143bbcfdef0,Coco Chinese Restaurant
49,Brooklyn,North Side,58df00318cfe546addb99246,Birds of a Feather
50,Brooklyn,North Side,3fd66200f964a5206bf11ee3,M Shanghai Bistro
51,Brooklyn,South Side,3fd66200f964a5206bf11ee3,M Shanghai Bistro
52,Brooklyn,South Side,54b318a1498eb29e9541053a,Wei Williamsburg
53,Brooklyn,Fort Hamilton,4b512cbaf964a520f64527e3,ha ha chinese
54,Brooklyn,Fort Hamilton,4c61d131de1b2d7f7ed5e070,Mid China
55,Brooklyn,Fort Hamilton,4cb0fb23eb65b1f7c61871cd,Panda Garden
56,Manhattan,Chinatown,4db3374590a0843f295fb69b,Spicy Village
57,Manhattan,Chinatown,4a96bf8ff964a520ce2620e3,Wah Fung Number 1 Fast Food 華豐快餐店
58,Manhattan,Chinatown,5894c9a15e56b417cf79e553,Xi'an Famous Foods
59,Manhattan,Chinatown,5c965dad5455b2002c058659,Yi Ji Shi Mo Noodle Corp
60,Manhattan,Chinatown,3fd66200f964a520b1ea1ee3,Great N.Y. Noodletown
61,Manhattan,Chinatown,59d828f0916bc1155fde2c04,Hwa Yuan
62,Manhattan,Chinatown,59ad625a2619ee5cdded881f,House Special 甘來飯店
63,Manhattan,Chinatown,3fd66200f964a520ede41ee3,Big Wong King 大旺
